Trang,STT,Nội dung huấn luyện,Giáo viên,Địa điểm,Thời gian tổng,1,2,3,6,7,8,9,10,13,14,15,16,17,20,21,22,23,24,27,28,29,30,31
1,"1","Khoa học xã hội và nhân văn","K.KHXH&NV","","12","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Đường lối phát triển kinh tế xã hội trong thời kỳ đẩy mạnh CNH, HĐH hội nhập quốc tế","Chính","GĐ VT","02","","2","","","","","","","","","","","","","","","","","","","","",""
1,"-","Tăng cường quốc phòng, an ninh bảo vệ Tổ quốc Việt Nam XHCN trong giai đoạn mới","Nam","""","02","","","","","2","","","","","","","","","","","","","","","","","",""
1,"-","Chính sách dân tộc, tôn giáo của Đảng và Nhà nước ta","Hùng","""","02","","","","","","","","","","2","","","","","","","","","","","","",""
1,"-","TL 1: Con đường đi lên chủ nghĩa xã hội của Đảng và Nhà nước ta là sự lựa chọn duy nhất đúng đắn, sáng tạo","Lợi","""","02","","","","","","","","","","","","","","2","","","","","","","","",""
1,"-","Kiểm tra phần 1(viết)","K.KHXH&NV","""","02","","","","","","","","","","","","","","","2","","","","","","","",""
1,"-","Xây dựng tiểu đội vững mạnh toàn diện, hoàn thành xuất sắc nhiệm vụ được giao","Huấn","""","02","","","","","","","","","","","","","","","K","","","","","2","","",""
1,"2","Quân sự chung","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"a","Điều lệnh","","","06","","","","","","","","","","","","","","","","","","","","","","",""
1,"*","Những quy định về chế độ chính quy","Đơn vị","","02","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Luyện tập: Thực hành chỉ huy tiểu đội thực hiện các chế độ chính quy trong ngày, tuần","ct","GĐ VT","02","","2","","","","","","","","","","","","","","","","","","","","",""
1,"*","Huấn luyện Điều lệnh đội ngũ","","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Đội ngũ từng người không có súng","Đơn vị","","02","","","","","","","","","","","","","","","","","","","","","","",""
1,"+","Thực hành hướng dẫn, duy trì tiểu đội luyện tập động tác đi đều chuyển thành đi nghiêm nhìn bên phải (trái) chào và thôi chào","bt","Sân d4","02","","","","","","","2","","","","","","","","","","","","","","","",""
1,"*","Huấn luyện tổ chức, phương pháp","Đơn vị","","02","","","","","","","","","","","","","","","","","","","","","","",""
1,"-","Tổ chức và phương pháp hướng dẫn duy trì tiểu đội ôn luyện ĐLQLBĐ; thực hiện các chế độ chính quy","ct","GĐ VT","02","","","","","2","","","","","","","","","","","","","","","","","",""
2,"b","Địa hình quân sự","K.BCHT","","08","","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Ký hiệu địa vật và ký hiệu dáng đất trên bản đồ địa hình","Triển","GĐ VT","02","","2","","","","","","","","","","","","","","","","","","","","",""
2,"-","Phương tiện địa bàn, ống nhòm, thước chỉ huy","""","""","02","","","","","2","","","","","","","","","","","","","","","","","",""
2,"-","Định hướng bản đồ, xác định điểm đứng","""","ĐC 62,6","02","","","","","","","","","","","2","","","","","","","","","","","",""
2,"-","Giới thiệu phương pháp cách vận động góc phương vị","""","ĐV- ĐC62,6","02","","","","","","","","","","","","","","","","","","","","","2","",""
2,"c","Kỹ thuật chiến đấu bộ binh","ĐV, BCHT","","20","","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Huấn luyện, kiểm tra bắn súng tiểu liên AK bài 2 nâng cao: Bắn mục tiêu ẩn hiện, vận động ở địa hình đồng bằng, trung du ban ngày có bắn đạn thật","Pct","T. Bắn","20","","","","","","2","","2","","","","4","","","","","","","4","2","6","",""
2,"d","Chiến thuật BCHT","Đơn vị","","08","","","","","","","","","","","","","","","","","","","TB","B","","",""
2,"-","Tổ bộ binh đánh địch trong hào có nắp, không có nắp","bt","ĐC71,9","04","","","","","","","","","2","","2","","","","","","","","","","","",""
2,"-","Tổ bộ binh làm một số nhiệm vụ khác trong chiến đấu","""","""","02","","","","","","","","","","","","2","","","","","","","","","","",""
2,"3","Chuyên ngành","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"a","Chuyên ngành súng cối 82 mm","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"+","Trinh sát pháo binh","K.BC","","06","","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Hiểu biết chung về trinh sát pháo binh","Cử","d4,ĐC62,6","02","2","","","","","","","","","","","","","","","","","","","","","",""
2,"-","Chỉ nhận mục tiêu","""","ĐC 62,6","04","4","","","","","","","","","","","","","","","","","","","","","",""
